geneNames	transcriptNames	id	fc	pval	qval
.	gene-PA3762	3858	1321.09866248843	0.0199082733344571	0.935824403942277
cysT	gene-PA0282	286	0.00355100998570158	0.0202602193376487	0.935824403942277
.	gene-PA0719	732	0.0128200305659322	0.0204717471451688	0.935824403942277
.	gene-PA5250	5411	2.560984386897	0.020677694358068	0.935824403942277
.	gene-PA3992	4091	69.7344649546649	0.0206917301881545	0.935824403942277
.	gene-PA5428	5596	27907.47703048	0.0208803274162892	0.935824403942277
.	gene-PA2654	2710	2.35503651539777	0.0212209246120854	0.935824403942277
cdhR	gene-PA5389	5557	0.0242793586186034	0.0214484282373864	0.935824403942277
.	gene-PA0952	976	12233295.4300649	0.0216095603715264	0.935824403942277
.	gene-PA2381	2430	150289.11561715	0.0216583638313732	0.935824403942277
.	gene-PA4473	4594	0.0446347257398316	0.0217106972158095	0.935824403942277
phhA	gene-PA0872	889	827.198186697467	0.0217621546690971	0.935824403942277
.	gene-PA4804	4958	0.000676746541113413	0.0217759031443061	0.935824403942277
cupC1	gene-PA0992	1015	0.0394108869685185	0.0222081201049564	0.935824403942277
.	gene-PA3044	3113	0.0527837235056812	0.022484012818361	0.935824403942277
.	gene-PA2275	2322	0.107334262561469	0.0235410278080144	0.935824403942277
.	gene-PA0938	961	0.00261675480384687	0.0235625216957038	0.935824403942277
pscG	gene-PA1720	1757	146976.362333286	0.0235980577275661	0.935824403942277
.	gene-PA2276	2323	2325.3974670857	0.0239596832599269	0.935824403942277
prpD	gene-PA0792	807	1.03442797905587e-17	0.0240735136203948	0.935824403942277
.	gene-PA0906	928	30.9968641131626	0.0241975772696246	0.935824403942277
pelF	gene-PA3059	3129	0.00280141874766961	0.0245378121150119	0.935824403942277
.	gene-PA1269	1298	38.8078563098728	0.0248485333177992	0.935824403942277
mexE	gene-PA2493	2544	197.826959041311	0.025099014990535	0.935824403942277
clpP	gene-PA1801	1845	13.8539710631495	0.0255888069068967	0.935824403942277
cyaA	gene-PA5272	5434	2.78989922026108	0.0259370958180447	0.935824403942277
gltR	gene-PA3192	3270	4.35013264432912e-07	0.0259545673754595	0.935824403942277
.	gene-PA2841	2905	10.6742202346133	0.0260358138478911	0.935824403942277
.	gene-PA0364	369	2.0507302177857e-05	0.0262639534842362	0.935824403942277
fgtA	gene-PA1091	1117	0.0266604161437698	0.0264200258774426	0.935824403942277
.	MSTRG.3383.1	4133	0.0053567756353274	0.0267673740870583	0.935824403942277
.	gene-PA0553	560	0.0181489815434588	0.0270957279699775	0.935824403942277
tpm	gene-PA2832	2896	920.714466959505	0.0270974853766115	0.935824403942277
.	gene-PA5023	5180	0.0303009552067757	0.0271053152098089	0.935824403942277
.	gene-PA1197	1226	9918.24193396751	0.0272279644372686	0.935824403942277
.	gene-PA3695	3790	0.00656655741184049	0.0274073298569766	0.935824403942277
.	gene-PA4866	5020	5628.75782526619	0.0277402079464364	0.935824403942277
.	gene-PA0542	549	134351.758800081	0.0293253396967494	0.935824403942277
.	gene-PA4459	4580	0.922911593095298	0.0298688140501786	0.935824403942277
.	gene-PA3886	3983	5.39352986938264	0.0299443086195055	0.935824403942277
cynT	gene-PA2053	2098	3.86554436085705e-18	0.0305480726939845	0.935824403942277
.	gene-PA2714	2769	0.00539630647199621	0.0305814921806125	0.935824403942277
arsB	gene-PA2278	2325	0.00058109844426586	0.0306806116234857	0.935824403942277
.	gene-PA1570	1605	31.0307219375866	0.0307518400689489	0.935824403942277
pvdJ	gene-PA2400	2454	147.975084933586	0.0310214998595757	0.935824403942277
.	gene-PA2775	2836	5.06572361213641	0.0315352435058884	0.935824403942277
.	gene-PA4130	4229	0.0272618864011066	0.0323577510248727	0.935824403942277
pilD	gene-PA4528	4650	1241.74975916621	0.0324745720119229	0.935824403942277
aphA	gene-PA1409	1439	0.000460267398359936	0.0324862139761292	0.935824403942277
pilO	gene-PA5042	5199	32708.3494405648	0.0325635016190421	0.935824403942277
dctA	gene-PA1183	1211	3082837742193.79	0.0326567004241591	0.935824403942277
ccoP2	gene-PA1555	1591	1396312569.69882	0.0335227058635506	0.935824403942277
acpP	gene-PA2966	3033	11.2457451773406	0.0339825136976845	0.935824403942277
.	gene-PA0604	612	1.74121602442889e-05	0.0342504762562945	0.935824403942277
soj	gene-PA5563	5730	35.3530157480273	0.0342540682239683	0.935824403942277
.	gene-PA1551	1584	63241.3015505119	0.0342544569853818	0.935824403942277
.	rna-PA4690.2	4831	0.000144101061259963	0.0344046758208251	0.935824403942277
.	gene-PA1814	1859	32.0083065328632	0.0347150465579397	0.935824403942277
.	gene-PA0736	750	4.06643855426762e-21	0.0354150176500277	0.935824403942277
.	gene-PA4033	4132	6830.49597354519	0.0361627415630159	0.935824403942277
.	gene-PA1388	1418	0.125216672693168	0.0362334355061497	0.935824403942277
ccpR	gene-PA4587	4713	469013974.732314	0.0364909107627839	0.935824403942277
.	gene-PA2569	2621	0.069878945547937	0.036550310758561	0.935824403942277
.	gene-PA4107	4205	0.141354564934807	0.0366385885740601	0.935824403942277
.	gene-PA5231	5392	871840.917434758	0.0372700764414944	0.935824403942277
polB	gene-PA1886	1933	0.0970112328055622	0.0372941871945923	0.935824403942277
.	gene-PA1190	1218	2.17860069494267e-10	0.0376544206137372	0.935824403942277
pscC	gene-PA1716	1753	485239244120335	0.0377001330552017	0.935824403942277
.	gene-PA1420	1450	279.086513127823	0.0378364376975057	0.935824403942277
.	gene-PA5492	5660	0.0451125636142582	0.0379613011636661	0.935824403942277
.	gene-PA4907	5060	9.77012664026819	0.0380143178760294	0.935824403942277
glpF	gene-PA3581	3674	13736.1210418303	0.0388861777728555	0.935824403942277
.	rna-PA5369.1	5533	0.0010964249049107	0.0390023739311727	0.935824403942277
.	MSTRG.1689.1	2044	4.5399506563033e-06	0.0394769945005125	0.935824403942277
.	gene-PA0041a	43	6.8946143113257	0.0395198187727447	0.935824403942277
nrdR	gene-PA4057	4157	5.19230329404017	0.039939644862091	0.935824403942277
.	gene-PA2332	2382	3189.90947551724	0.0399546603141683	0.935824403942277
pilG	gene-PA0408	413	26026.0493329795	0.0413625750560045	0.935824403942277
.	gene-PA4475	4596	0.000770013026054795	0.0414892725035276	0.935824403942277
cyoC	gene-PA1319	1348	681029.90644798	0.0415311976074821	0.935824403942277
.	gene-PA4019	4118	2.58186913181694	0.041658587929994	0.935824403942277
nuoG	gene-PA2642	2698	30.628939847381	0.0418178218029847	0.935824403942277
nalD	gene-PA3574	3666	2.99415910827527e-05	0.0421945226873353	0.935824403942277
serS	gene-PA2612	2668	2.31023951928203	0.0422419102871019	0.935824403942277
aroP2	gene-PA0866	883	1.43336019780969e-11	0.0423051116605697	0.935824403942277
.	gene-PA3190	3268	1.66833726112468e-06	0.0427494447850816	0.935824403942277
anr	gene-PA1544	1577	16.589658573693	0.0428402268777228	0.935824403942277
phzF2	gene-PA1904	1951	0.0535753837887012	0.0432520635467153	0.935824403942277
.	gene-PA3309	3391	1711788753.05883	0.0434190769727645	0.935824403942277
phzM	gene-PA4209	4309	9.22391234866113e-05	0.0437157777856521	0.935824403942277
ubiG	gene-PA3171	3249	270.495548027271	0.0437711578822162	0.935824403942277
.	gene-PA4349	4466	2940.98806894196	0.0441050436885044	0.935824403942277
.	gene-PA4615	4741	0.0735506043283413	0.0444439898191604	0.935824403942277
.	gene-PA0418	423	15.451547882704	0.0444556744273452	0.935824403942277
pcaR	gene-PA0155	159	0.0010075315750555	0.0449353607720959	0.935824403942277
.	rna-PA4280.5	4392	0.00290635698236155	0.0451971257289107	0.935824403942277
.	gene-PA5460	5629	699.112436168427	0.0458817402579939	0.935824403942277
.	gene-PA1372	1402	0.000427907779415189	0.0460784202575201	0.935824403942277
.	gene-PA3302	3381	163107924485343840	0.0461825616560316	0.935824403942277
.	gene-PA4391	4509	17.3062738012682	0.0461961655744891	0.935824403942277
lpdV	gene-PA2250	2297	3.2716166786416e-11	0.0466169737867017	0.935824403942277
.	gene-PA1024	1049	0.0141478098363561	0.0466297349030045	0.935824403942277
.	gene-PA4434	4554	1397.65008056484	0.0478057697673689	0.935824403942277
pbpC	gene-PA2272	2319	165.214515083118	0.0484715491865666	0.935824403942277
hflK	gene-PA4942	5097	6.00806301132693e-26	0.0489472357860099	0.935824403942277
sucA	gene-PA1585	1621	29.7065713994974	0.049054838077764	0.935824403942277
